Date,Time,Day,Trial,Animal,Trial Code,Strategy Type,ipe,velocity,totalDistance,distanceAverage,averageHeadingError,percentTraversed,latency,corridorAverage,score,initial heading error,entropy
39228,0.388888889,2,4,13150,36-1 2 4,Random Search,2431.84,11.99,592.09,51.11,88.08,43.06,49.38,0.09,0,45.80546635,0
39228,0.389583333,2,4,13181,36-2 2 4,Random Search,231.95,29.47,203.67,37.38,97.65,17.36,6.91,0.44,0,12.68737535,0
39228,0.390277778,2,2,43521,25-2 2 2,Random Search,1654.88,21.7,1300.22,27.76,96.4,45.83,59.92,0.36,0,110.8016306,0
39228,0.391666667,2,3,43488,23-1 2 3,Random Search,336.73,18.75,192.02,38.14,102.12,12.5,10.24,0.27,0,44.01162215,0
39228,0.392361111,2,3,43519,23-2 2 3,Random Search,222.77,42.85,196.25,48.28,124.67,12.5,4.58,0,0,111.7743559,0
39228,0.39375,2,3,43547,23-3 2 3,Random Search,3163.6,21.64,1297.18,53.41,91.51,43.06,59.93,0.12,0,26.36415123,0
39228,0.395138889,2,3,43578,23-4 2 3,Random Search,3330.82,16.07,963.2,56.61,87.01,50,59.93,0.04,0,68.49124849,0
39228,0.396527778,2,3,43490,25-1 2 3,Random Search,310.25,16.68,165.14,35.29,93.34,15.28,9.9,0.44,0,36.7624349,0
39228,0.397916667,2,3,43521,25-2 2 3,Random Search,1698.58,21.93,932.26,40.51,94.3,58.33,42.51,0.14,0,86.31904265,0
39228,0.399305556,2,4,43488,23-1 2 4,Chaining,1146.5,21.44,533.53,49.63,85.86,33.33,24.89,0.31,1,60.40523172,0
39228,0.4,2,4,43519,23-2 2 4,Not Recognized,145.53,56.74,150.36,68.12,76.89,5.56,2.65,0,0,83.03004564,0
39228,0.400694444,2,4,43547,23-3 2 4,Not Recognized,146.27,56.38,165.75,61.86,83.09,5.56,2.94,0,0,49.76875581,0
39228,0.402083333,2,4,43578,23-4 2 4,Not Recognized,181.68,46.96,164.83,64.94,85.79,5.56,3.51,0.1,0,65.5720029,0
39228,0.402777778,2,4,43490,25-1 2 4,Not Recognized,265.71,37.8,189,63.43,89.77,6.94,5,0.05,0,41.82323557,0
39228,0.404166667,2,4,43521,25-2 2 4,Scanning,648.29,27.75,369.36,53.28,91.4,32.64,13.31,0.02,1,66.76046527,0
39228,0.404861111,2,1,13516,37-1 2 1,Not Recognized,372.76,16.02,121.4,71.19,81.86,5.56,7.58,0.01,0,86.16231667,0
39228,0.405555556,2,1,13547,37-2 2 1,Not Recognized,212.56,24.34,106.37,73.58,78.48,7.64,4.37,0,0,88.73597214,0
39228,0.40625,2,1,13575,37-3 2 1,Not Recognized,200.87,27.69,133.49,63.28,77.84,9.03,4.82,0.06,0,34.59329044,0
39228,0.408333333,2,2,13516,37-1 2 2,Random Search,2759.16,20.38,1221.13,46.14,93.41,48.61,59.92,0.19,0,83.18149743,0
39228,0.409722222,2,2,13547,37-2 2 2,Random Search,2381.82,20.92,1252.92,39.88,92.85,59.03,59.9,0.18,0,129.9435634,0
39228,0.411111111,2,2,13575,37-3 2 2,Random Search,504.88,27.02,281.57,49.09,106.71,20.83,10.42,0.04,0,66.37111692,0
39228,0.413194444,2,3,13516,37-1 2 3,Random Search,458.96,13.91,210.84,34.88,87.47,18.06,15.16,0.27,0,20.54247109,0
39228,0.413888889,2,3,13547,37-2 2 3,Random Search,1638.63,16.88,512.85,56,87.98,33.33,30.39,0.08,0,68.57726398,0
39228,0.414583333,2,3,13575,37-3 2 3,Scanning,417.89,25.07,254.7,44.34,99.19,20.14,10.16,0.18,1,49.52515017,0
39228,0.417361111,2,4,13516,37-1 2 4,Scanning,637.93,26.54,338.42,56.93,85.29,20.83,12.75,0.22,1,27.76930914,0
39228,0.418055556,2,4,13547,37-2 2 4,Not Recognized,187.5,37.84,155.91,57.86,78.32,8.33,4.12,0.28,0,24.69171713,0
39228,0.41875,2,4,13575,37-3 2 4,Not Recognized,109.94,69.2,158.47,62.6,81.05,4.86,2.29,0.17,0,39.18659074,0
39228,0.442361111,2,1,43491,26-1 2 1,Scanning,469.5,26.33,314.36,49.07,79.88,29.86,11.94,0.46,1,46.2240257,0
39228,0.443055556,2,1,43522,26-2 2 1,Not Recognized,191.64,31.34,118.15,64.15,94.55,9.72,3.77,0.03,0,99.10569431,0
39228,0.44375,2,1,43550,26-3 2 1,Random Search,762.37,20.93,269.4,69.37,85.76,13.19,12.87,0.18,0,18.1773585,0
39228,0.444444444,2,1,43581,26-4 2 1,Indirect Search,73.98,40.82,83.27,69.81,62.8,4.17,2.04,0.17,2,35.98191697,0
39228,0.445833333,2,2,43491,26-1 2 2,Not Recognized,122.68,55.5,193.68,35.47,124.93,9.03,3.49,0,0,71.47970873,0
39228,0.447222222,2,2,43522,26-2 2 2,Thigmotaxis,2796.74,23.31,1396.68,46.92,87.56,40.97,59.93,0.27,0,47.88953179,0
39228,0.447916667,2,2,43550,26-3 2 2,Random Search,359.21,25.88,252.57,37.65,105.49,16.67,9.76,0.1,0,50.48402906,0
39228,0.449305556,2,2,43581,26-4 2 2,Random Search,511.26,26.45,387.25,35.53,95.78,21.53,14.64,0.33,0,50.5446161,0
39228,0.45,2,3,43581,26-4 2 3,Not Recognized,170.03,36.82,140.65,48.96,100.93,9.72,3.82,0.03,0,72.39625043,0
39228,0.452777778,2,3,43522,26-2 2 3,Random Search,1520.03,19.2,508.63,59.07,88.36,27.08,26.49,0.05,0,84.08638439,0
39228,0.453472222,2,3,43550,26-3 2 3,Random Search,471.91,22.92,225.51,51.74,94.05,18.06,9.84,0.07,0,61.98075044,0
39228,0.454861111,2,3,43491,26-1 2 3,Random Search,356.28,24.94,179.34,52.87,98.4,11.81,7.19,0.03,0,82.30136764,0
39228,0.455555556,2,4,43491,26-1 2 4,Random Search,223.44,45.33,195.82,60.38,82.79,11.81,4.32,0.08,0,78.3158913,0
39228,0.456944444,2,4,43522,26-2 2 4,Not Recognized,148.57,60.45,151.73,67.24,91.23,7.64,2.51,0,0,121.1066234,0
39228,0.457638889,2,4,43550,26-3 2 4,Chaining,1271.55,22.16,550.12,54.78,88.63,39.58,24.83,0.09,1,81.48987271,0
39228,0.459027778,2,4,43581,26-4 2 4,Chaining,1167.23,21.15,471.1,56.04,89.17,34.72,22.27,0.14,1,21.61796172,0
39228,0.46875,2,1,43493,28-1 2 1,Chaining,2471.79,20.47,1227.58,43.56,87.49,38.19,59.96,0.41,1,26.06634677,0
39228,0.469444444,2,1,43524,28-2 2 1,Random Search,740.87,13.89,227.79,57.91,66.97,15.97,16.4,0.41,0,48.29906179,0
39228,0.471527778,2,1,43552,28-3 2 1,Thigmotaxis,1895.86,20.13,1206.88,33.71,91.18,33.33,59.95,0.49,0,61.33426689,0
39228,0.472916667,2,1,43583,28-4 2 1,Random Search,834.58,22.21,426.42,49.75,89.32,31.94,19.2,0.29,0,47.59023599,0
39228,0.473611111,2,1,43495,30-1 2 1,Random Search,1485.15,21.5,664.92,52.75,88.16,44.44,30.93,0.2,0,52.01796041,0
39228,0.475,2,1,30-2*,30-2 2 1,Random Search,835.42,21.38,341.73,60.23,88.14,25.69,15.98,0.21,0,50.49518615,0
39228,0.477083333,2,2,43493,28-1 2 2,Random Search,2410.19,21.73,1302.07,40.52,93.75,68.06,59.91,0.14,0,74.1640415,0
39228,0.477777778,2,2,43524,28-2 2 2,Random Search,497.47,28.13,286.96,48.99,102.87,17.36,10.2,0.02,0,110.5006948,0
39228,0.479861111,2,2,43552,28-3 2 2,Random Search,2184.27,19.47,1167.99,36.67,93.36,65.97,59.98,0.3,0,41.22325131,0
39228,0.48125,2,2,43583,28-4 2 2,Scanning,620.23,25.5,387.29,41.07,100.53,27.78,15.19,0.28,1,58.01316754,0
39228,0.482638889,2,2,43495,30-1 2 2,Random Search,598.88,21.86,433.62,30.19,102.15,25,19.84,0.56,0,56.0769258,0
39228,0.483333333,2,2,30-2*,30-2 2 2,Scanning,1066.52,22.15,424.2,55.86,91.8,31.25,19.15,0,1,78.86074136,0
39228,0.484722222,2,3,43493,28-1 2 3,Chaining,968.55,15.45,438.03,36.24,87.37,35.42,28.36,0.38,1,69.30783306,0
39228,0.485416667,2,3,43524,28-2 2 3,Chaining,710.88,22.34,386.25,42.87,95.71,34.72,17.29,0.21,1,42.76500842,0
39228,0.486111111,2,3,43552,28-3 2 3,Random Search,312.16,19.53,157.4,45.42,96.96,13.19,8.06,0.32,0,29.09334181,0
39228,0.486805556,2,3,43583,28-4 2 3,Random Search,222.5,26.87,171.17,39.52,98.11,16.67,6.37,0.29,0,19.57121146,0
39228,0.488194444,2,3,43495,30-1 2 3,Random Search,311.42,25.36,165.59,52.3,101.61,12.5,6.53,0.11,0,115.5500066,0
39228,0.488888889,2,3,30-2*,30-2 2 3,Random Search,325.37,22.24,165.88,48.6,97.99,13.19,7.46,0.02,0,31.50239845,0
39228,0.490277778,2,4,28-1*,28-1 2 4,Not Recognized,243.76,35.34,178.8,61.05,84.32,6.94,5.06,0.17,0,37.55346224,0
39228,0.490972222,2,4,43524,28-2 2 4,Not Recognized,130.1,66.85,158.45,66.5,86.9,5.56,2.37,0,0,70.84303396,0
39228,0.492361111,2,4,43552,28-3 2 4,Not Recognized,263.78,32.77,171.39,59.59,88.85,7.64,5.23,0.37,0,14.94645841,0
39228,0.493055556,2,4,43583,28-4 2 4,Not Recognized,217.19,46.31,170.44,70.47,87.59,7.64,3.68,0,0,83.98187657,0
39228,0.494444444,2,4,43495,30-1 2 4,Scanning,1114.13,23.29,747.23,36.94,91.39,56.94,32.08,0.44,1,19.00329063,0
39228,0.495138889,2,4,30-2*,30-2 2 4,Not Recognized,384.37,28.36,191.41,67.77,90.7,8.33,6.75,0.16,0,123.9039057,0
39229,0.042361111,3,1,43521,25-2 3 1,Random Search,342.39,35.92,259.02,48.12,101.95,16.67,7.21,0.17,0,16.6190453,0
39229,0.043055556,3,1,43495,30-1 3 1,Random Search,316.02,28.72,253.29,36.3,103.48,19.44,8.82,0.07,0,37.28927175,0
39229,0.04375,3,1,30-2*,30-2 3 1,Scanning,866.85,19.17,335.49,49.87,95.71,22.92,17.5,0.02,1,120.0847142,0
39229,0.045138889,3,1,43490,25-1 3 1,Not Recognized,215.53,22.91,113.19,66.97,76.19,5.56,4.94,0.05,0,97.62537257,0
